ticker,date,period_ending,estimate,reported,surprise,surprise%
KAI,2021-08-03,Jun-21,1.51,2.01,0.5,33.11
KALU,2021-07-21,Jun-21,2.27,1,-1.27,-55.95
KALV,2021-09-09,Jul-21,-0.73,-0.66,0.07,9.59
KAMN,2021-08-05,Jun-21,0.36,0.56,0.2,55.56
KAR,2021-08-03,Jun-21,0.16,0.15,-0.01,-6.25
KBH,2021-06-23,May-21,1.29,1.5,0.21,16.28
KBR,2021-07-29,Jun-21,0.48,0.58,0.1,20.83
KDP,2021-07-29,Jun-21,0.37,0.38,0.01,2.7
KELYA,2021-08-12,Jun-21,0.33,0.49,0.16,48.48
KEX,2021-07-29,Jun-21,0.12,0.17,0.05,41.67
KEY,2021-07-20,Jun-21,0.55,0.72,0.17,30.91
KEYS,2021-08-18,Jul-21,1.44,1.54,0.1,6.94
KFRC,2021-08-03,Jun-21,0.91,1,0.09,9.89
KFY,2021-09-08,Jul-21,1.07,1.37,0.3,28.04
KHC,2021-08-04,Jun-21,0.73,0.78,0.05,6.85
KIDS,2021-08-04,Jun-21,-0.21,-0.11,0.1,47.62
KIM,2021-07-29,Jun-21,0.31,0.34,0.03,9.68
KKR,2021-08-03,Jun-21,0.84,1.05,0.21,25
KLAC,2021-07-29,Jun-21,3.94,4.43,0.49,12.44
KLIC,2021-08-04,Jun-21,1.36,1.87,0.51,37.5
KMB,2021-07-23,Jun-21,1.73,1.47,-0.26,-15.03
KMI,2021-07-21,Jun-21,0.19,0.23,0.04,21.05
KMPH,2021-08-12,Jun-21,0.23,-0.4,-0.63,-273.91
KMPR,2021-07-29,Jun-21,1.11,-1.54,-2.65,-238.74
KMT,2021-08-02,Jun-21,0.39,0.53,0.14,35.9
KMX,2021-06-25,May-21,1.61,2.63,1.02,63.35
KN,2021-07-28,Jun-21,0.26,0.31,0.05,19.23
KNSA,2021-08-03,Jun-21,-0.69,-0.61,0.08,11.59
KNSL,2021-07-29,Jun-21,1.09,1.28,0.19,17.43
KNX,2021-07-21,Jun-21,0.87,0.98,0.11,12.64
KO,2021-07-21,Jun-21,0.57,0.68,0.11,19.3
KOD,2021-08-09,Jun-21,-1.04,-1.08,-0.04,-3.85
KOP,2021-08-06,Jun-21,1.36,1.41,0.05,3.68
KOPN,2021-08-03,Jun-21,-0.01,-0.04,-0.03,-300
KPTI,2021-08-05,Jun-21,-0.72,-0.71,0.01,1.39
KR,2021-09-10,Jul-21,0.63,0.8,0.17,26.98
KRC,2021-07-28,Jun-21,0.84,0.88,0.04,4.76
KREF,2021-07-26,Jun-21,0.49,0.54,0.05,10.2
KRG,2021-08-02,Jun-21,0.32,0.34,0.02,6.25
KRNY,2021-07-29,Jun-21,0.21,0.24,0.03,14.29
KROS,2021-08-05,Jun-21,-0.66,-0.67,-0.01,-1.52
KRTX,2021-08-05,Jun-21,-1.24,-1.17,0.07,5.65
KRYS,2021-08-09,Jun-21,-0.74,-0.74,0,0
KSS,2021-08-19,Jul-21,1.3,2.48,1.18,90.77
KTB,2021-08-05,Jun-21,0.4,0.4,0,0
KTOS,2021-08-03,Jun-21,0.06,0.06,0,0
KURA,2021-08-05,Jun-21,-0.49,-0.51,-0.02,-4.08
KW,2021-08-04,Jun-21,1.59,1.88,0.29,18.24
KWR,2021-08-03,Jun-21,1.5,1.82,0.32,21.33
KZR,2021-08-12,Jun-21,-0.26,-0.25,0.01,3.85
LAD,2021-07-21,Jun-21,6.56,11.12,4.56,69.51
LADR,2021-07-29,Jun-21,0.05,0.1,0.05,100
LAMR,2021-08-05,Jun-21,1.77,1.75,-0.02,-1.13
LANC,2021-08-26,Jun-21,1.39,1.15,-0.24,-17.27
LAND,2021-08-10,Jun-21,0.15,0.13,-0.02,-13.33
LASR,2021-08-05,Jun-21,0.08,0.09,0.01,12.5
LAUR,2021-08-05,Jun-21,0.13,-0.19,-0.32,-246.15
LAZ,2021-07-30,Jun-21,0.89,1.28,0.39,43.82
LBAI,2021-07-22,Jun-21,0.44,0.53,0.09,20.45
